id,protocol,component,layer,classical_algorithm,algorithm_type,key_bits,quantum_threat,pqc_replacement,cnsa2_category,cnsa2_support_by,cnsa2_exclusive_by,source_spec,source_url,notes
OT-001,Modbus/TCP (base),Application data channel,transport,"None (cleartext, unauthenticated)",none,,no-crypto,N/A -- add a secure transport (see OT-002) before a PQC algorithm choice is relevant,n/a,,,Modbus Application Protocol V1.1b3 (no native security),https://modbus.org/docs/Modbus_Application_Protocol_V1_1b3.pdf,"Baseline-hygiene finding, not a PQC-migration item: nothing to migrate until a secure transport exists."
OT-002,Modbus/TCP Security (add-on) / TLS-wrapped OT protocols,TLS 1.2/1.3 handshake,transport,ECDHE (P-256/P-384) or RSA-2048 key exchange; RSA-2048 or ECDSA P-256 certificate signatures,asymmetric-kex + asymmetric-sig,2048 (RSA) / 256-384 (EC),broken-by-shor,"ML-KEM-768/1024 (FIPS 203) for key exchange, hybridized with classical ECDHE during transition; ML-DSA-65/87 (FIPS 204) for certificate signatures",Traditional networking equipment,2026,2030,Modbus/TCP Security v21 (TLS-based add-on),https://modbus.org/docs/MB-TCP-Security-v21_2018-07-24.pdf,"Also covers any OT protocol tunneled over TLS (MQTT-over-TLS, IEC 60870-5-104 Secure, HTTPS management interfaces)."
OT-003,DNP3 Secure Authentication v5 (SAv5),Message authentication,application,HMAC-SHA-256 (or HMAC-SHA3-256); AES-128/256 Key Wrap for Update Key protection,symmetric-mac + symmetric-keywrap,128/256,weakened-by-grover,No asymmetric component to replace; move to HMAC-SHA-384/512 and AES-256 Key Wrap for full Grover margin,Symmetric algorithms (general use),,,IEEE 1815-2012 (DNP3 Secure Authentication v5),https://www.dnp.org,"SAv5 is symmetric-key only (pre-shared Update Keys); the practical weak point is out-of-band key distribution, not the algorithms."
OT-004,DNP3 SAv6 / Asymmetric Management Protocol (AMP),Authority Key (root key management),application,"RSA or ECC (implementation-defined curve/size, typically RSA-2048 or P-256)",asymmetric-sig,implementation-defined,broken-by-shor,ML-DSA-65/87 (FIPS 204),Traditional networking equipment,2026,2030,IEEE 1815-2020 (DNP3 SAv6 / AMP),https://www.dnp.org,Session Key and Update Key remain AES-256-GCM / AES-256 Key Wrap; see OT-005.
OT-005,DNP3 SAv6 / AMP,Session Key encryption,application,AES-256-GCM,symmetric-aead,256,weakened-by-grover,No change needed -- AES-256 already meets NIST's post-quantum symmetric-strength guidance,Symmetric algorithms (general use),,,IEEE 1815-2020 (DNP3 SAv6 / AMP),https://www.dnp.org,
OT-006,OPC UA,SecurityPolicy Basic256Sha256 (handshake + certificates),transport+identity,RSA-2048 asymmetric encryption/signature (certificates and key exchange); AES-256-CBC symmetric; SHA-256 hash,asymmetric-kex + asymmetric-sig,2048,broken-by-shor,ML-KEM-768/1024 for session-key establishment (likely hybrid) + ML-DSA-65/87 for certificate signatures,Traditional networking equipment,2026,2030,"OPC 10000-7: UA Part 7 -- Profiles, SecurityPolicy Basic256Sha256",https://reference.opcfoundation.org/Core/Part7/,OPC Foundation is developing hybrid-certificate guidance; treat as transitional until finalized.
OT-007,OPC UA,SecurityPolicy Aes256Sha256RsaPss,transport+identity,RSA-PSS-2048 signatures; AES-256; SHA-256,asymmetric-sig,2048,broken-by-shor,ML-DSA-65/87 (FIPS 204),Traditional networking equipment,2026,2030,OPC 10000-7: UA Part 7 -- Profiles,https://reference.opcfoundation.org/Core/Part7/,
OT-008,"IEC 62351-3 (TLS profile for power-system protocols: IEC 60870-5-104 Secure, DNP3-over-TLS)",TLS 1.2/1.3 session,transport,ECDHE (P-256/P-384) key exchange; RSA or ECDSA certificate signatures; AES-GCM,asymmetric-kex + asymmetric-sig,256-384 (EC) / 2048 (RSA),broken-by-shor,ML-KEM-768/1024 hybrid key exchange; ML-DSA certificate signatures,Traditional networking equipment,2026,2030,"IEC 62351-3:2023, Ed. 2",https://webstore.iec.ch/en/publication/68410,Grid-facing protocols; migration here intersects directly with federal PQC mandates for energy-sector OT.
OT-009,IEEE 802.1AR Secure Device Identity (DevID / IDevID / LDevID),Device identity certificate,identity,RSA-2048 or ECDSA P-256 signatures,asymmetric-sig,2048/256,broken-by-shor,ML-DSA-65/87 (FIPS 204); consider LMS/XMSS (SP 800-208) where device-identity issuance resembles firmware-signing infrastructure,Software & firmware signing,2025,2030,IEEE 802.1AR-2018,https://standards.ieee.org/ieee/802.1AR/6995/,Device identity underpins zero-trust segmentation in OT; a broken IDevID key compromises every downstream trust decision.
OT-010,"OT firmware/software update signing (PLC, RTU, IED firmware images)",Firmware signature,firmware,RSA-2048 or ECDSA P-256 signatures,asymmetric-sig,2048/256,broken-by-shor,"LMS or XMSS (NIST SP 800-208, stateful hash-based) or SLH-DSA (FIPS 205, stateless), per CNSA 2.0 signing guidance",Software & firmware signing,2025,2030,NIST SP 800-208; NSA CNSA 2.0 FAQ,https://media.defense.gov/2022/Sep/07/2003071836/-1/-1/0/CSI_CNSA_2.0_FAQ_.PDF,Earliest CNSA 2.0 deadline category -- prioritize firmware-signing infrastructure first.
